Lost Frontier, Kevin MacLeod, CC-BY 4.0, https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1300039
Legionnaire (Original), Scott Buckley, CC-BY 4.0, https://www.scottbuckley.com.au/library/legionnaire/
Americana, Kevin MacLeod, CC-BY 4.0, https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1200092
The Ancient Legend, Vitalezzz, CC0 1.0, https://opengameart.org/content/the-ancient-legend
Court of the Queen, Kevin MacLeod, CC-BY 4.0, https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100728
Royal Coupling, Kevin MacLeod, CC-BY 4.0, https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1900054
Amazing Grace 2011, Kevin MacLeod, CC-BY 4.0, https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100820
Crusade, Kevin MacLeod, CC-BY 4.0, https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100884
Agnus Dei X, Kevin MacLeod, CC-BY 4.0, https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100679
Temple of the Manes, Kevin MacLeod, CC-BY 4.0, https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100053
Virtutes Vocis, Kevin MacLeod, CC-BY 4.0, https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100800
Virtutes Instrumenti, Kevin MacLeod, CC-BY 4.0, https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100801
Angevin, Kevin MacLeod, CC-BY 4.0, https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1200110
Five Armies, Kevin MacLeod, CC-BY 4.0, https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100875
Procession of the King, Kevin MacLeod, CC-BY 4.0, https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100745
Death of Kings, Kevin MacLeod, CC-BY 4.0, https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100876
Memories Of Stone, Scott Buckley, CC-BY 4.0, https://www.scottbuckley.com.au/library/memories-of-stone/
Titan, Scott Buckley, CC-BY 4.0, https://www.scottbuckley.com.au/library/titan/
Enchanted Journey, Kevin MacLeod, CC-BY 4.0, https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100799
Midnight Tale, Kevin MacLeod, CC-BY 4.0, https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1900004
